scenario,exploration_floor,arm_rates,total_users,bandit_regret,balanced_regret,regret_saved,share_to_best_arm,replications
null,0.05,0.04/0.04,100000,0.0,0.0,0.0,0.48440214000000004,2000
lift,0.05,0.04/0.044,100000,54.569621999999946,199.99999999999983,145.43037799999988,0.863575945,2000
null,0.01,0.04/0.04,100000,0.0,0.0,0.0,0.49369591,2000
lift,0.01,0.04/0.044,100000,48.73937599999995,199.99999999999983,151.2606239999999,0.87815156,2000
null,0.002,0.04/0.04,100000,0.0,0.0,0.0,0.494849675,2000
lift,0.002,0.04/0.044,100000,48.84259599999994,199.99999999999983,151.15740399999987,0.87789351,2000
