metric,target_rho,realised_rho_mean,realised_rho_sd,n_total,estimator,replications,variance,variance_ratio,theoretical_ratio,empirical_variance_of_estimates,sample_size_ratio,users_saved_pct
conversion_p04,0.0,-0.00031540750629537837,0.003143775715451426,100000,cuped,800,1.5365657402929096e-06,0.9999900207794936,1.0,1.461252630933136e-06,0.9999900207794936,0.0009979220506384223
conversion_p04,0.1,0.09983153658544279,0.0053219971068086,100000,cuped,800,1.5203597033288725e-06,0.9900030803604324,0.99,1.4568067938258558e-06,0.9900030803604324,0.9996919639567614
conversion_p04,0.2,0.2002645626454045,0.006203545277131124,100000,cuped,800,1.4740980739988898e-06,0.9598508897043768,0.96,1.4233612137303616e-06,0.9598508897043768,4.0149110295623185
conversion_p04,0.3,0.3001191416543038,0.00673347118331354,100000,cuped,800,1.398007584072208e-06,0.9098678995170466,0.91,1.4352762009772927e-06,0.9098678995170466,9.013210048295338
conversion_p04,0.4,0.3997722181633304,0.007105243617095741,100000,cuped,800,1.2906239649781455e-06,0.8401075347933776,0.84,1.2080017637425742e-06,0.8401075347933776,15.989246520662237
conversion_p04,0.5,0.50004661871254,0.006811576490559304,100000,cuped,800,1.1517996643896281e-06,0.7498841536350757,0.75,1.1617157777895173e-06,0.7498841536350757,25.011584636492433
conversion_p04,0.6,0.5999906347111782,0.006329369140249518,100000,cuped,800,9.822605123580828e-07,0.6399391845587487,0.64,9.929106751263698e-07,0.6399391845587487,36.00608154412514
conversion_p04,0.7,0.6998844425766755,0.005822742518797892,100000,cuped,800,7.838776734629165e-07,0.5100978023936792,0.51,7.764689215889679e-07,0.5100978023936792,48.99021976063208
conversion_p04,0.8,0.7999009911463767,0.005025085474472634,100000,cuped,800,5.533446444664554e-07,0.3601031013115772,0.3599999999999999,5.953699831218041e-07,0.3601031013115772,63.989689868842284
conversion_p04,0.9,0.9000385987964924,0.0034672355468172715,100000,cuped,800,2.919610207611399e-07,0.18990026429575355,0.18999999999999995,2.806965664736562e-07,0.18990026429575355,81.00997357042465
conversion_p04,0.0,-0.00031540750629537837,0.003143775715451426,100000,cuped_plus_strata,800,1.5366371411139085e-06,1.0000364881102444,1.0,1.4609715919624232e-06,1.0000364881102444,-0.0036488110244370375
conversion_p04,0.1,0.09983153658544279,0.0053219971068086,100000,cuped_plus_strata,800,1.5036811023197867e-06,0.9791425804807365,0.99,1.447917987162192e-06,0.9791425804807365,2.0857419519263454
conversion_p04,0.2,0.2002645626454045,0.006203545277131124,100000,cuped_plus_strata,800,1.4397169786606939e-06,0.937463827722907,0.96,1.361038765223176e-06,0.937463827722907,6.253617227709296
conversion_p04,0.3,0.3001191416543038,0.00673347118331354,100000,cuped_plus_strata,800,1.3519494750099015e-06,0.8798918139609304,0.91,1.37100241825271e-06,0.8798918139609304,12.010818603906959
conversion_p04,0.4,0.3997722181633304,0.007105243617095741,100000,cuped_plus_strata,800,1.2402578022891375e-06,0.8073226230593226,0.84,1.177602279631274e-06,0.8073226230593226,19.267737694067744
conversion_p04,0.5,0.50004661871254,0.006811576490559304,100000,cuped_plus_strata,800,1.104689182238816e-06,0.7192126704533862,0.75,1.1197384870426236e-06,0.7192126704533862,28.07873295466138
conversion_p04,0.6,0.5999906347111782,0.006329369140249518,100000,cuped_plus_strata,800,9.454856784380561e-07,0.6159805127654902,0.64,9.772105871764627e-07,0.6159805127654902,38.401948723450985
conversion_p04,0.7,0.6998844425766755,0.005822742518797892,100000,cuped_plus_strata,800,7.611564534774553e-07,0.49531227555109675,0.51,7.5700243406861e-07,0.49531227555109675,50.46877244489032
conversion_p04,0.8,0.7999009911463767,0.005025085474472634,100000,cuped_plus_strata,800,5.431159206153604e-07,0.35344649910520615,0.3599999999999999,5.835955258348713e-07,0.35344649910520615,64.65535008947938
conversion_p04,0.9,0.9000385987964924,0.0034672355468172715,100000,cuped_plus_strata,800,2.894062252096236e-07,0.1882385481214856,0.18999999999999995,2.7700781716819246e-07,0.1882385481214856,81.17614518785143
conversion_p04,0.0,-0.00031540750629537837,0.003143775715451426,100000,diff_in_means,800,1.5365810741742747e-06,1.0,1.0,1.4613075107767083e-06,1.0,0.0
conversion_p04,0.1,0.09983153658544279,0.0053219971068086,100000,diff_in_means,800,1.5357120937192965e-06,1.0,0.99,1.4862647933163938e-06,1.0,0.0
conversion_p04,0.2,0.2002645626454045,0.006203545277131124,100000,diff_in_means,800,1.5357573658684582e-06,1.0,0.96,1.4598261014278318e-06,1.0,0.0
conversion_p04,0.3,0.3001191416543038,0.00673347118331354,100000,diff_in_means,800,1.5364951162847525e-06,1.0,0.91,1.589270102676424e-06,1.0,0.0
conversion_p04,0.4,0.3997722181633304,0.007105243617095741,100000,diff_in_means,800,1.5362604327737297e-06,1.0,0.84,1.4515882777171808e-06,1.0,0.0
conversion_p04,0.5,0.50004661871254,0.006811576490559304,100000,diff_in_means,800,1.5359701345951377e-06,1.0,0.75,1.5738885191945917e-06,1.0,0.0
conversion_p04,0.6,0.5999906347111782,0.006329369140249518,100000,diff_in_means,800,1.534927905743687e-06,1.0,0.64,1.5111616212697777e-06,1.0,0.0
conversion_p04,0.7,0.6998844425766755,0.005822742518797892,100000,diff_in_means,800,1.536720350067185e-06,1.0,0.51,1.4184054514839582e-06,1.0,0.0
conversion_p04,0.8,0.7999009911463767,0.005025085474472634,100000,diff_in_means,800,1.5366283779591142e-06,1.0,0.3599999999999999,1.5915571569645018e-06,1.0,0.0
conversion_p04,0.9,0.9000385987964924,0.0034672355468172715,100000,diff_in_means,800,1.5374439937926332e-06,1.0,0.18999999999999995,1.4977141433992653e-06,1.0,0.0
conversion_p04,0.0,-0.00031540750629537837,0.003143775715451426,100000,lin_adjusted,800,1.5365974232895073e-06,1.0000106399301067,1.0,1.4612880168426005e-06,1.0000106399301067,-0.0010639930106748352
conversion_p04,0.1,0.09983153658544279,0.0053219971068086,100000,lin_adjusted,800,1.5204398592490113e-06,0.9900552749875807,0.99,1.4568660776760005e-06,0.9900552749875807,0.9944725012419275
conversion_p04,0.2,0.2002645626454045,0.006203545277131124,100000,lin_adjusted,800,1.4742204633516786e-06,0.9599305828613226,0.96,1.4234955468237499e-06,0.9599305828613226,4.0069417138677395
conversion_p04,0.3,0.3001191416543038,0.00673347118331354,100000,lin_adjusted,800,1.3981754295488237e-06,0.9099771387035801,0.91,1.4354573004629268e-06,0.9099771387035801,9.00228612964199
conversion_p04,0.4,0.3997722181633304,0.007105243617095741,100000,lin_adjusted,800,1.2908105037432867e-06,0.8402289587141932,0.84,1.2081648463965938e-06,0.8402289587141932,15.977104128580677
conversion_p04,0.5,0.50004661871254,0.006811576490559304,100000,lin_adjusted,800,1.1520000024046068e-06,0.750014584566294,0.75,1.1619008358498754e-06,0.750014584566294,24.9985415433706
conversion_p04,0.6,0.5999906347111782,0.006329369140249518,100000,lin_adjusted,800,9.824377310163351e-07,0.6400546418760528,0.64,9.930852601273423e-07,0.6400546418760528,35.99453581239472
conversion_p04,0.7,0.6998844425766755,0.005822742518797892,100000,lin_adjusted,800,7.840306130439689e-07,0.5101973257591671,0.51,7.765813499406769e-07,0.5101973257591671,48.98026742408329
conversion_p04,0.8,0.7999009911463767,0.005025085474472634,100000,lin_adjusted,800,5.534610121298441e-07,0.3601788305282556,0.3599999999999999,5.954906041620939e-07,0.3601788305282556,63.98211694717444
conversion_p04,0.9,0.9000385987964924,0.0034672355468172715,100000,lin_adjusted,800,2.9202720909063913e-07,0.18994331518395918,0.18999999999999995,2.8075875620973094e-07,0.18994331518395918,81.00566848160409
conversion_p04,0.0,-0.00031540750629537837,0.003143775715451426,100000,post_stratified,800,1.5366491870185984e-06,1.00004432753043,1.0,1.4609930563158873e-06,1.00004432753043,-0.004432753043004389
conversion_p04,0.1,0.09983153658544279,0.0053219971068086,100000,post_stratified,800,1.5061000307166616e-06,0.9807176988943818,0.99,1.466329899430162e-06,0.9807176988943818,1.9282301105618238
conversion_p04,0.2,0.2002645626454045,0.006203545277131124,100000,post_stratified,800,1.4578966101427827e-06,0.9493013952229062,0.96,1.3432080004885617e-06,0.9493013952229062,5.069860477709376
conversion_p04,0.3,0.3001191416543038,0.00673347118331354,100000,post_stratified,800,1.406088532627123e-06,0.9151272384301794,0.91,1.4357939968712463e-06,0.9151272384301794,8.487276156982059
conversion_p04,0.4,0.3997722181633304,0.007105243617095741,100000,post_stratified,800,1.3564027333995365e-06,0.8829249940067396,0.84,1.31540582758358e-06,0.8829249940067396,11.707500599326037
conversion_p04,0.5,0.50004661871254,0.006811576490559304,100000,post_stratified,800,1.315712733395284e-06,0.8566004662207115,0.75,1.3522858017458936e-06,0.8566004662207115,14.339953377928849
conversion_p04,0.6,0.5999906347111782,0.006329369140249518,100000,post_stratified,800,1.2897251025886685e-06,0.8402512572496261,0.64,1.3321391165741995e-06,0.8402512572496261,15.974874275037386
conversion_p04,0.7,0.6998844425766755,0.005822742518797892,100000,post_stratified,800,1.2815475450688965e-06,0.8339497456468691,0.51,1.1749901897470285e-06,0.8339497456468691,16.60502543531309
conversion_p04,0.8,0.7999009911463767,0.005025085474472634,100000,post_stratified,800,1.280436389492853e-06,0.8332765474456975,0.3599999999999999,1.270939999498068e-06,0.8332765474456975,16.672345255430255
conversion_p04,0.9,0.9000385987964924,0.0034672355468172715,100000,post_stratified,800,1.2809908279353128e-06,0.833195116769951,0.18999999999999995,1.2249581246413258e-06,0.833195116769951,16.680488323004905
revenue_p10,0.0,2.506311752661956e-05,0.003293739510281117,100000,cuped,800,0.29921267679294944,0.9999892409459279,1.0,0.3013037848125256,0.9999892409459279,0.0010759054072106977
revenue_p10,0.1,0.10069424555069811,0.010264924026677077,100000,cuped,800,0.29524040521409467,0.9898132143704519,0.99,0.3045234835967352,0.9898132143704519,1.0186785629548112
revenue_p10,0.2,0.20056486601515636,0.015556569242608469,100000,cuped,800,0.2855765752740028,0.9596016566111089,0.96,0.30658628180287206,0.9596016566111089,4.039834338889115
revenue_p10,0.3,0.30043800897856116,0.01859066740040807,100000,cuped,800,0.27156522840581,0.9094670886177272,0.91,0.26512086441160665,0.9094670886177272,9.053291138227282
revenue_p10,0.4,0.4005100772468336,0.022747385260970497,100000,cuped,800,0.2511085147411359,0.8390739769177541,0.84,0.2594627773896263,0.8390739769177541,16.092602308224592
revenue_p10,0.5,0.5005141483538599,0.021233899625961748,100000,cuped,800,0.22291707618502787,0.7486711616976159,0.75,0.22388997059946986,0.7486711616976159,25.132883830238406
revenue_p10,0.6,0.6009164412203382,0.022340484881834134,100000,cuped,800,0.1904988130253694,0.6369960352288544,0.64,0.184908025198013,0.6369960352288544,36.30039647711456
revenue_p10,0.7,0.7003104748549872,0.018584421691258336,100000,cuped,800,0.15126805060152732,0.5090587380857163,0.51,0.14237132414151174,0.5090587380857163,49.094126191428366
revenue_p10,0.8,0.8003539555141461,0.013986873302454824,100000,cuped,800,0.10682371079906584,0.35850554865834483,0.3599999999999999,0.11334816319216813,0.35850554865834483,64.14944513416552
revenue_p10,0.9,0.9001861378812194,0.008587516674233497,100000,cuped,800,0.056431710800221156,0.18902418207134747,0.18999999999999995,0.05795459339037268,0.18902418207134747,81.09758179286526
revenue_p10,0.0,2.506311752661956e-05,0.003293739510281117,100000,cuped_plus_strata,800,0.2992030104398087,0.9999569353322636,1.0,0.3015364257444706,0.9999569353322636,0.004306466773640327
revenue_p10,0.1,0.10069424555069811,0.010264924026677077,100000,cuped_plus_strata,800,0.2925654972109919,0.9808454062996818,0.99,0.3029447719627821,0.9808454062996818,1.9154593700318245
revenue_p10,0.2,0.20056486601515636,0.015556569242608469,100000,cuped_plus_strata,800,0.2809063475498993,0.9439086388749695,0.96,0.29858328399674405,0.9439086388749695,5.609136112503055
revenue_p10,0.3,0.30043800897856116,0.01859066740040807,100000,cuped_plus_strata,800,0.2661740322817442,0.8914120693065125,0.91,0.26343829181207307,0.8914120693065125,10.85879306934875
revenue_p10,0.4,0.4005100772468336,0.022747385260970497,100000,cuped_plus_strata,800,0.2458005432255775,0.8213374984334739,0.84,0.2525419689329435,0.8213374984334739,17.866250156652608
revenue_p10,0.5,0.5005141483538599,0.021233899625961748,100000,cuped_plus_strata,800,0.21829920330538946,0.7331619494266765,0.75,0.21920888505737,0.7331619494266765,26.683805057332354
revenue_p10,0.6,0.6009164412203382,0.022340484881834134,100000,cuped_plus_strata,800,0.1869881905008116,0.625257103138865,0.64,0.18104620640992017,0.625257103138865,37.47428968611351
revenue_p10,0.7,0.7003104748549872,0.018584421691258336,100000,cuped_plus_strata,800,0.1488701358040335,0.5009890930020707,0.51,0.14033992558245967,0.5009890930020707,49.901090699792924
revenue_p10,0.8,0.8003539555141461,0.013986873302454824,100000,cuped_plus_strata,800,0.10550004554126016,0.35406326392642584,0.3599999999999999,0.1117949754873219,0.35406326392642584,64.59367360735742
revenue_p10,0.9,0.9001861378812194,0.008587516674233497,100000,cuped_plus_strata,800,0.05600329061221217,0.18758914183469858,0.18999999999999995,0.05762304839085911,0.18758914183469858,81.24108581653014
revenue_p10,0.0,2.506311752661956e-05,0.003293739510281117,100000,diff_in_means,800,0.2992158960729545,1.0,1.0,0.3013645214403846,1.0,0.0
revenue_p10,0.1,0.10069424555069811,0.010264924026677077,100000,diff_in_means,800,0.2982789085129315,1.0,0.99,0.307236900683391,1.0,0.0
revenue_p10,0.2,0.20056486601515636,0.015556569242608469,100000,diff_in_means,800,0.29759908531476875,1.0,0.96,0.31540197103970935,1.0,0.0
revenue_p10,0.3,0.30043800897856116,0.01859066740040807,100000,diff_in_means,800,0.2985981920671304,1.0,0.91,0.28888689331910283,1.0,0.0
revenue_p10,0.4,0.4005100772468336,0.022747385260970497,100000,diff_in_means,800,0.2992686242797749,1.0,0.84,0.30995235306211366,1.0,0.0
revenue_p10,0.5,0.5005141483538599,0.021233899625961748,100000,diff_in_means,800,0.2977503176154965,1.0,0.75,0.2990289422958127,1.0,0.0
revenue_p10,0.6,0.6009164412203382,0.022340484881834134,100000,diff_in_means,800,0.2990580827664471,1.0,0.64,0.29985296964739666,1.0,0.0
revenue_p10,0.7,0.7003104748549872,0.018584421691258336,100000,diff_in_means,800,0.29715244879276875,1.0,0.51,0.2757198796106723,1.0,0.0
revenue_p10,0.8,0.8003539555141461,0.013986873302454824,100000,diff_in_means,800,0.2979694768988601,1.0,0.3599999999999999,0.30367557926631483,1.0,0.0
revenue_p10,0.9,0.9001861378812194,0.008587516674233497,100000,diff_in_means,800,0.29854228269545385,1.0,0.18999999999999995,0.31294749827033885,1.0,0.0
revenue_p10,0.0,2.506311752661956e-05,0.003293739510281117,100000,lin_adjusted,800,0.299218021169969,1.0000071022196426,1.0,0.30129448307590245,1.0000071022196426,-0.0007102219642618479
revenue_p10,0.1,0.10069424555069811,0.010264924026677077,100000,lin_adjusted,800,0.29531592521279326,0.9900664002194786,0.99,0.3046449954617661,0.9900664002194786,0.993359978052144
revenue_p10,0.2,0.20056486601515636,0.015556569242608469,100000,lin_adjusted,800,0.28580031223261004,0.9603534632182111,0.96,0.3067972082615427,0.9603534632182111,3.9646536781788866
revenue_p10,0.3,0.30043800897856116,0.01859066740040807,100000,lin_adjusted,800,0.27256342280668316,0.9128100237974845,0.91,0.26573603473306084,0.9128100237974845,8.718997620251546
