n_total,intended_allocation,smallest_detectable_drift,as_percent_of_users,threshold,power
10000,0.5,0.021611888189595696,2.1611888189595696,0.0005,0.8
50000,0.5,0.009665130222812124,0.9665130222812124,0.0005,0.8
100000,0.5,0.006834279121601616,0.6834279121601616,0.0005,0.8
500000,0.5,0.003056382538621616,0.3056382538621616,0.0005,0.8
1000000,0.5,0.0021611888189596584,0.21611888189596584,0.0005,0.8
